Ego Artist Name,Related Artist Name,Artist ID,External URL,Followers,Genres,Popularity,Image URL
Taylor Swift,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,https://open.spotify.com/artist/1McMsnEElThX1knmY4oliG,34716051,pop,90,https://i.scdn.co/image/ab6761610000e5ebe03a98785f3658f0b6461ec4
Taylor Swift,Katy Perry,6jJ0s89eD6GaHleKKya26X,https://open.spotify.com/artist/6jJ0s89eD6GaHleKKya26X,32439191,pop,84,https://i.scdn.co/image/ab6761610000e5ebdc9dcb7e4a97b4552e1224d6
Taylor Swift,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,95650823,pop,95,https://i.scdn.co/image/ab6761610000e5eb40b5c07ab77b6b1a9075fdc0
Taylor Swift,Harry Styles,6KImCVD70vtIoJWnq6nGn3,https://open.spotify.com/artist/6KImCVD70vtIoJWnq6nGn3,31683693,pop,85,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb
Taylor Swift,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,https://open.spotify.com/artist/4nDoRrQiYLoBzwC5BhVJzF,32614912,"dance pop, pop",81,https://i.scdn.co/image/ab6761610000e5eb99a94361a732b7eb49342d35
Taylor Swift,Demi Lovato,6S2OmqARrzebs0tKUEyXyp,https://open.spotify.com/artist/6S2OmqARrzebs0tKUEyXyp,26257462,"pop, post-teen pop",77,https://i.scdn.co/image/ab6761610000e5ebcf674ecb51186e6408cd18c0
Taylor Swift,One Direction,4AK6F7OLvEQ5QYCBNiQWHq,https://open.spotify.com/artist/4AK6F7OLvEQ5QYCBNiQWHq,34539891,"boy band, pop, post-teen pop, talent show",84,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
Taylor Swift,Meghan Trainor,6JL8zeS1NmiOftqZTRgdTz,https://open.spotify.com/artist/6JL8zeS1NmiOftqZTRgdTz,14701349,"hip pop, pop",78,https://i.scdn.co/image/ab6761610000e5eb365984489dac7a79eac204e3
Taylor Swift,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,https://open.spotify.com/artist/7n2wHs1TKAczGzO7Dd2rGr,42420347,"canadian pop, pop, viral pop",82,https://i.scdn.co/image/ab6761610000e5eb93e1fe183be0aebda170283a
Taylor Swift,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,https://open.spotify.com/artist/5YGY8feqx7naU7z4HrwZM6,23565079,pop,86,https://i.scdn.co/image/ab6761610000e5ebb4ba86c361191d48cbeb4b32
Taylor Swift,Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B,7710041,pop,81,https://i.scdn.co/image/ab6761610000e5ebaead9d4bfd812d0d267b2991
Taylor Swift,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,https://open.spotify.com/artist/6M2wZ9GZgrQXHCFfjv46we,42974921,"dance pop, pop, uk pop",88,https://i.scdn.co/image/ab6761610000e5eb0c68f6c95232e716f0abee8d
Taylor Swift,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,https://open.spotify.com/artist/1uNFoZAHBGtllmzznpCI3s,74379769,"canadian pop, pop",89,https://i.scdn.co/image/ab6761610000e5eb8ae7f2aaa9817a704a87ea36
Taylor Swift,Lana Del Rey,00FQb4jTyendYWaN8pK0wa,https://open.spotify.com/artist/00FQb4jTyendYWaN8pK0wa,33793251,"art pop, pop",90,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261
Taylor Swift,Halsey,26VFTg2z8YR0cCuwLzESi2,https://open.spotify.com/artist/26VFTg2z8YR0cCuwLzESi2,21353781,"electropop, etherpop, indie poptimism, pop",81,https://i.scdn.co/image/ab6761610000e5ebd707e1c5177614c4ec95a06c
Taylor Swift,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH,93188793,"art pop, pop",88,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
Taylor Swift,Conan Gray,4Uc8Dsxct0oMqx0P6i60ea,https://open.spotify.com/artist/4Uc8Dsxct0oMqx0P6i60ea,9455023,"bedroom pop, pop, pov: indie",80,https://i.scdn.co/image/ab6761610000e5ebc1c8fa15e08cb31eeb03b771
Taylor Swift,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,https://open.spotify.com/artist/6VuMaDnrHyPL1p4EHjYLi7,22344729,"pop, viral pop",80,https://i.scdn.co/image/ab6761610000e5ebf83823555da55fd07555fbd0
Taylor Swift,ZAYN,5ZsFI1h6hIdQRw2ti0hz81,https://open.spotify.com/artist/5ZsFI1h6hIdQRw2ti0hz81,22771133,"pop, uk pop",76,https://i.scdn.co/image/ab6761610000e5eb7a1fba1bb3618ef71355f82a
Taylor Swift,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,https://open.spotify.com/artist/0C8ZW7ezQVs4URX5aX7Kqx,48777809,"pop, post-teen pop",82,https://i.scdn.co/image/ab6761610000e5ebc3c753851496854e29abff7a
Taylor Swift,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,https://open.spotify.com/artist/1McMsnEElThX1knmY4oliG,34716051,pop,90,https://i.scdn.co/image/ab6761610000e5ebe03a98785f3658f0b6461ec4
Taylor Swift,Katy Perry,6jJ0s89eD6GaHleKKya26X,https://open.spotify.com/artist/6jJ0s89eD6GaHleKKya26X,32439191,pop,84,https://i.scdn.co/image/ab6761610000e5ebdc9dcb7e4a97b4552e1224d6
Taylor Swift,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,https://open.spotify.com/artist/66CXWjxzNUsdJxJ2JdwvnR,95650823,pop,95,https://i.scdn.co/image/ab6761610000e5eb40b5c07ab77b6b1a9075fdc0
Taylor Swift,Harry Styles,6KImCVD70vtIoJWnq6nGn3,https://open.spotify.com/artist/6KImCVD70vtIoJWnq6nGn3,31683693,pop,85,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb
